CODE_EINDEUTIG,NAME,X_LV95,Y_LV95,Z,STATUS,GIN,ALARM,EINZUGSGEBIETSGROESSE,MITTLERE_HOEHE,VERGLETSCHERUNG,GEWAESSERNAME,FLUSSSYSTEM,GEWAESSERTYP,ORTSBEZEICHNUNG,ORGANISATION,LINK,URL_STATIONSSEITE,SYSTEM_U,PARAMETER_W,PARAMETER_T,PARAMETER_N,PERIODIZITAET_W,EINHEIT_W,EINHEIT_Q,PERIODIZITAET_T,EINHEIT_T,PERIODIZITAET_N,EINHEIT_N,PUBL_W,PUBL_T,PUBL_N,GUELTIG_VON_W,GUELTIG_VON_T,GUELTIG_VON_N,GUELTIG_BIS_W,GUELTIG_BIS_T,GUELTIG_BIS_N,SYSTEM_W,SYSTEM_T,URL_02_W,URL_07_W,URL_31_W,URL_91_W,URL_92_W,URL_PROVJBLJ_W,URL_PROVJBVJ_W,URL_JB_W,URL_02_T,URL_07_T,URL_31_T,URL_91_T,URL_92_T,URL_PROVJBLJ_T,URL_PROVJBVJ_T,URL_JB_T,URL_02_N,URL_07_N,URL_31_N,URL_91_N,URL_92_N,URL_PROVJBLJ_N,URL_PROVJBVJ_N,URL_JB_N,ORGANISATION_SYMB,PARAMETER_W_SYMB,PARAMETER_T_SYMB,PARAMETER_N_SYMB,SYMBOL,E,N
ZH 580,Kempt - Fehraltorf,2698235,1249764,520,in Betrieb,,,21.70816378,640.622761,0.0%,Kempt,Töss,Fliessgewässer,Fehraltorf,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19910101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05237.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05238.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05239.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05387.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08331.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2698235,1249764
ZH 581,Kempt - Winterthur,2695434,1258744,446,in Betrieb,,,61.86067788,586.4460117,0.0%,Kempt,Töss,Fliessgewässer,Winterthur,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,20010101,19870101,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/05148.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05149.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05150.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05388.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08275.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/0580.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/0579.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/0578.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0880.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2695434,1258744
ZH 582,Jona - Rüti,2707050,1234060,450,in Betrieb,,,58.00114019,675.461856,0.0%,Jona,Limmat,Fliessgewässer,Rapperswil-Jona (SG),AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,19940101,20020101,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/0549.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0548.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0547.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05389.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08128.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05164.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05162.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05163.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/08288.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2707050,1234060
ZH 583,"Mülibach - Rietmüli, Waltalingen",2700546,1276224,424,in Betrieb,,,9.00195548,462.2935506,0.0%,Mülibach,Rhein,Fliessgewässer,Waltalingen,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19950101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05621.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05622.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05623.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0886.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2700546,1276224
ZH 585,Surb - Niederweningen,2669934,1262513,446,in Betrieb,,,15.2164018,556.1383138,0.0%,Surb,Aare,Fliessgewässer,Niederweningen,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19990101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05191.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05189.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05190.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05390.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08293.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2669934,1262513
ZH 586,Limmat - Dietikon,2673197,1251406,383,in Betrieb,,,,558.009097,0.0%,Limmat,Limmat,Fliessgewässer,Dietikon,AWEL,www.hydrometrie.zh.ch,,,,Temperatur,,,,,10,°C,,,,,,,20020101,,,,,,pt100,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/at/05288.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05290.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05289.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/08294.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,0,1,0,8,2673197,1251406
ZH 587,Dorfbach - Meilen,2690871,1236036,410,in Betrieb,,,5.12396072,629.9703657,0.0%,Dorfbach,Limmat,Fliessgewässer,Meilen,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,20040101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05833.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05834.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05835.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08503.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2690871,1236036
ZH 547,"Sihl - Blattwag, Hütten",2693645,1225576,700,in Betrieb,,ja,102,,0.0%,Sihl,Sihl,Fliessgewässer,Hütten,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,19700101,19930101,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/05125.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05124.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05123.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05368.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0547daw.PDF,http://www.hw.zh.ch/hochwasser/mac/aaw/08124.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05128.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05127.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05126.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0872.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2693645,1225576
ZH 548,Furtbach - Würenlos (AG),2669908,1255287,410,in Betrieb,,,44.54081048,482.2242142,0.0%,Furtbach,Limmat,Fliessgewässer,Würenlos (AG),AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,10,,l/s,15,°C,,,,,,19780101,19990101,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/0565.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0564.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0563.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05382.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08122.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/0568.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/0567.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/0566.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/08121.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2669908,1255287
ZH 552,Türlersee - Aegst am Albis,2680214,1236507,644,in Betrieb,,,5.17693666,722.9585,0.0%,Türlersee,Limmat,See,Aeugst am Albis,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,Temperatur,,15,müM,,15,°C,,,,,,19790101,19850101,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05807.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05808.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05809.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0866.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05810.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05811.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05812.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0855.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,2,1,0,4,2680214,1236507
