CODE_EINDEUTIG,NAME,X_LV95,Y_LV95,Z,STATUS,GIN,ALARM,EINZUGSGEBIETSGROESSE,MITTLERE_HOEHE,VERGLETSCHERUNG,GEWAESSERNAME,FLUSSSYSTEM,GEWAESSERTYP,ORTSBEZEICHNUNG,ORGANISATION,LINK,URL_STATIONSSEITE,SYSTEM_U,PARAMETER_W,PARAMETER_T,PARAMETER_N,PERIODIZITAET_W,EINHEIT_W,EINHEIT_Q,PERIODIZITAET_T,EINHEIT_T,PERIODIZITAET_N,EINHEIT_N,PUBL_W,PUBL_T,PUBL_N,GUELTIG_VON_W,GUELTIG_VON_T,GUELTIG_VON_N,GUELTIG_BIS_W,GUELTIG_BIS_T,GUELTIG_BIS_N,SYSTEM_W,SYSTEM_T,URL_02_W,URL_07_W,URL_31_W,URL_91_W,URL_92_W,URL_PROVJBLJ_W,URL_PROVJBVJ_W,URL_JB_W,URL_02_T,URL_07_T,URL_31_T,URL_91_T,URL_92_T,URL_PROVJBLJ_T,URL_PROVJBVJ_T,URL_JB_T,URL_02_N,URL_07_N,URL_31_N,URL_91_N,URL_92_N,URL_PROVJBLJ_N,URL_PROVJBVJ_N,URL_JB_N,ORGANISATION_SYMB,PARAMETER_W_SYMB,PARAMETER_T_SYMB,PARAMETER_N_SYMB,SYMBOL,E,N
ZH 553,"Lützelsee - See, Hombrechtikon",2701171,1234998,500,in Betrieb,,,5.6614794,536.236124,0.0%,Lützelsee,Limmat,See,Hombrechtikon,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,10,müM,,,,,,,,,19810101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05263.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05264.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05265.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05369.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/0823.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2701171,1234998
ZH 554,"Aabach - Niederuster, Uster",2695102,1244724,440,in Betrieb,,,61.93644141,624.5535776,0.0%,Aabach,Glatt,Fliessgewässer,Uster,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,19800101,19860101,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/05158.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05156.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05157.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05383.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/0838.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05173.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05172.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05171.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0816.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2695102,1244724
ZH 556,Katzensee - Regensdorf,2678990,1253980,439,in Betrieb,,,4.95626992,466.441776,0.0%,Katzensee,Limmat,See,Regensdorf,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,15,müM,,,,,,,,,19790101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05788.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05787.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05789.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0870.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2678990,1253980
ZH 558,Chriesbach - Dübendorf,2688549,1251121,430,in Betrieb,,,32.18782349,477.1770846,0.0%,Chriesbach,Glatt,Fliessgewässer,Dübendorf,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,m3/s,,,,,,,,20180101,,,,,,Einperlung,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2688549,1251121
ZH 559,"Tobelbach - Oberflächenwasser, Hombrechtikon",2701221,1235000,500,in Betrieb,,,5.70859442,536.008885,0.0%,Tobelbach,Limmat,Fliessgewässer,Hombrechtikon,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,15,,l/s,,,,,,,,19830101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05263.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05264.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05265.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08255.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2701221,1235000
ZH 560,"Tobelbach - Tiefenwasser, Hombrechtikon",2701221,1235000,500,in Betrieb,,,5.6614794,536.236124,0.0%,Tobelbach,Limmat,Fliessgewässer,Hombrechtikon,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,15,,l/s,,,,,,,,19830101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05263.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05264.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05265.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08257.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2701221,1235000
ZH 561,Reppisch - Aeugst am Albis,2680121,1237080,640,in Betrieb,,,5.86927541,721.4650479,0.0%,Reppisch,Limmat,Fliessgewässer,Aeugst am Albis,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19830101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05797.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05796.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05798.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0865.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2680121,1237080
ZH 562,"Pfäffikersee - Stegen, Wetzikon",2702089,1242974,538,in Betrieb,,,30.97675337,652.610402,0.0%,Pfäffikersee,Glatt,See,Wetzikon,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,5,müM,,,,,,,,,19510101,,,,,,Sonde,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2702089,1242974
ZH 563,Chatzenbach - Turbenthal,2707639,1254672,580,in Betrieb,,,5.07110773,676.4835952,0.0%,Chatzenbach,Töss,Fliessgewässer,Turbenthal,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19850101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05240.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05241.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05242.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08342.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2707639,1254672
ZH 564,Chatzenbach - Turbenthal (HW-Rückhaltebecken),2707355,1254684,572,in Betrieb,,ja,5.33699906,673.5969333,0.0%,Chatzenbach,Töss,Hochwasserrückhaltebecken,Turbenthal,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,Niederschlag,10,müM,,,,10,mm,,,,19850101,,20060101,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05240.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05241.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05242.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08233.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/an/05258.PDF?zst=15518911,http://www.hw.zh.ch/hochwasser/mac/an/05259.PDF?zst=15518911,,,http://www.hw.zh.ch/hochwasser/mac/an/0822.PDF?zst=15518911,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html#-364082828,1,2,0,1,7,2707355,1254684
ZH 566,Chrattenweiher - Wetzikon,2703540,1243598,560,in Betrieb,,,13.25230701,761.4089822,0.0%,Chrattenweiher,Glatt,Fliessgewässer,Wetzikon,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,10,m,,,,,,,,,19850101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05825.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05827.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05826.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0878.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2703540,1243598
ZH 568,Chämtnerbach - Wetzikon,2703726,1243464,560,in Betrieb,,,13.23851085,761.6193464,0.0%,Chämtnerbach,Glatt,Fliessgewässer,Wetzikon,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19850101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05305.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05371.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05370.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05378.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08156.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2703726,1243464
ZH 569,"Hüttnersee - Hütten, Richterswil",2694051,1226483,660,in Betrieb,,,2.42840281,707.0830009,0.0%,Hüttnersee,Sihl,Fliessgewässer,Richterswil,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,10,müM,,,,,,,,,19850101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05460.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05461.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05462.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08310.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2694051,1226483
WIN,Winterthur / Seen,2699845,1259054,506,,,,,,,,,,,MeteoSchweiz,www.hochwasser.zh.ch,https://www.meteoschweiz.admin.ch/home/messwerte.html?param=messwerte-niederschlag-10min&station=WIN,,,,Niederschlag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,9,2699845,1259054
ZH 2081,"Pfäffikersee - Bootshaus, Pfäffikon",2701217,1246784,537,in Betrieb,,ja,29.12882545,659.564196,0.0%,Pfäffikersee,Glatt,See,Pfäffikon,AWEL,www.hydrometrie.zh.ch,https://www.hydrodaten.admin.ch/de/2081.html,,Wasserstand,,,,,,,,,,,,,19870101,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0559.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0558.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0557.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08154.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2701217,1246784
ZH 2082,"Greifensee - Bootshaus, Greifensee",2693300,1246785,436,in Betrieb,,ja,164.9267492,552.708824,0.0%,Greifensee,Glatt,See,Greifensee,AWEL,www.hydrometrie.zh.ch,https://www.hydrodaten.admin.ch/de/2082.html,,Wasserstand,,,,,,,,,,,,,19870101,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0556.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0555.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0554.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0842.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2693300,1246785
ZH 500,Jonen - Affoltern (HW-Rückhaltebecken),2677169,1236352,517,in Betrieb,,ja,20.01422104,641.2069165,0.0%,Jonen,Reuss,Hochwasserrückhaltebecken,Affoltern am Albis,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,5,müM,,,,,,,,,20080101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05344.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05335.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05345.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0839.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2677169,1236352
ZH 501,Glatt - Schwerzenbach,2691182,1248318,435,in Betrieb,,,166.3969406,551.7718507,0.0%,Glatt,Glatt,Fliessgewässer,Schwerzenbach,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,,,,,,,,,,,19910101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05829.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05828.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05830.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0895.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2691182,1248318
ZH 502,Zürichsee - Oberrieden,2686664,1236400,406,in Betrieb,,ja,1825,,0.0%,Zürichsee,Limmat,See,Oberrieden,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,Temperatur,,10,müM,,15,°C,,,,,,20100101,19840101,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05359.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05360.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05361.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/0899.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05394.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05395.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05396.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/08279.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,2,1,0,4,2686664,1236400
ZH 503,Weiach,2676110,1268981,357,in Betrieb,,,,,,,Rhein,,Weiach,AWEL,www.hydrometrie.zh.ch,,,,,Niederschlag,,,,,,10,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/an/05666.PDF?zst=15518911,http://www.hw.zh.ch/hochwasser/mac/an/05667.PDF?zst=15518911,,,http://www.hw.zh.ch/hochwasser/mac/an/08430.PDF?zst=15518911,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html#-364082828,1,0,0,1,9,2676110,1268981
ZH 504,"Altbach - Schaffhauserstrasse, Kloten",2686136,1256274,435,in Betrieb,,,21.05665492,515.7778228,0.0%,Altbach,Glatt,Fliessgewässer,Kloten,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,10,,m3/s,,,,,,,,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/aaw/05782.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05781.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05783.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/04472.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08428.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2686136,1256274
ZH 505,"Altbach - Flughafeneindeckung, Kloten",2685764,1256335,433,in Betrieb,,,21.46299524,514.4020343,0.0%,Altbach,Glatt,Fliessgewässer,Kloten,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,2,0,0,2,2685764,1256335
ZH 511,Mederbach - Marthalen,2690499,1275165,375,in Betrieb,,,25.55761035,437.6654127,0.0%,Mederbach,Thur,Fliessgewässer,Marthalen,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19680101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05234.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05235.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05236.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05362.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08309.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2690499,1275165
ZH 513,"Töss - Beicher, Fischenthal",2714211,1242375,760,in Betrieb,,,11.14849615,1027.335202,0.0%,Töss,Töss,Fliessgewässer,Fischenthal,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,Niederschlag,5,,m3/s,,,10,mm,,,,19680101,,19750101,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05660.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05659.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05661.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08259.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html#-364082828,1,1,0,1,6,2714211,1242375
ZH 515,"Töss - Hornsäge, Zell",2703658,1255742,523,in Betrieb,,,128.939372,788.2098529,0.0%,Töss,Töss,Fliessgewässer,Zell,AWEL,www.hydrometrie.zh.ch,,Solar,Abfluss,,,5,,m3/s,,,,,,,,19340101,,,,,,Sonde,,,,,,,,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2703658,1255742
ZH 517,Kempt - Illnau-Effretikon,2696710,1252444,500,in Betrieb,,,39.25256626,609.4791855,0.0%,Kempt,Töss,Fliessgewässer,Illnau-Effretikon,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,19680101,19840101,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05493.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05494.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05495.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05387.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08250.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05519.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05520.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05521.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0847.PDF?zst=15843166,,,,,,,,,,,1,1,1,0,3,2696710,1252444
ZH 518,"Töss - Wülflingen, Winterthur",2694274,1262114,430,in Betrieb,,,261.683176,690.0151288,0.0%,Töss,Töss,Fliessgewässer,Winterthur,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,m3/s,,,,,,,,19500101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05194.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05192.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05193.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05364.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08301.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2694274,1262114
ZH 519,"Töss - Altlandenberg, Bauma",2707744,1248015,621,in Betrieb,,,66.67817694,870.9180049,0.0%,Töss,Töss,Fliessgewässer,Bauma,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,Niederschlag,5,,m3/s,,,10,mm,,,,19890101,,20020101,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05185.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05183.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05184.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05365.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08290.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/an/05166.PDF?zst=15518911,http://www.hw.zh.ch/hochwasser/mac/an/05165.PDF?zst=15518911,,,http://www.hw.zh.ch/hochwasser/mac/an/08281.PDF?zst=15518911,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html#-364082828,1,1,0,1,6,2707744,1248015
ZH 520,"Töss - Rämismühle, Zell",2703776,1255606,524,in Betrieb,,ja,125.7299563,791.7915104,0.0%,Töss,Töss,Fliessgewässer,Zell,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,Niederschlag,5,,m3/s,15,°C,10,mm,,,,19880101,19840101,19810101,,,,,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/05107.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05106.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05105.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05366.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/0869.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05110.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05109.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05108.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0867.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,http://www.hw.zh.ch/hochwasser/mac/an/05112.PDF?zst=15518911,http://www.hw.zh.ch/hochwasser/mac/an/05111.PDF?zst=15518911,,,http://www.hw.zh.ch/hochwasser/mac/an/08266.PDF?zst=15518911,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html#-364082828,1,1,1,1,5,2703776,1255606
ZH 521,"Eulach - Räterschen, Elsau",2702400,1261737,470,in Betrieb,,,31.58578732,584.5924096,0.0%,Eulach,Töss,Fliessgewässer,Elsau,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,Niederschlag,5,,m3/s,,,10,mm,,,,19680101,,20040101,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05215.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05216.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05217.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05372.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08303.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/an/05207.PDF?zst=15518911,http://www.hw.zh.ch/hochwasser/mac/an/05208.PDF?zst=15518911,,,http://www.hw.zh.ch/hochwasser/mac/an/08277.PDF?zst=15518911,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/niederschlag.html#-364082828,1,1,0,1,6,2702400,1261737
2415,Glatt - Rheinsfelden,2678040,1269720,336,in Betrieb,,,417,503,0.0%,Glatt,Glatt,Fliessgewässer,,BAFU,www.hochwasser.zh.ch,https://www.hydrodaten.admin.ch/de/2415.html,,Abfluss,Temperatur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,3,2678041.102,1269719.969
ZH 608,"Hegmatten - Rümikerstrasse, Winterthur (HW-Rückhaltebecken)",2700272,1262418,460,in Betrieb,,,,,0.0%,Hegmatten,Töss,Hochwasserrückhaltebecken,Winterthur,AWEL,www.hydrometrie.zh.ch,,,Wasserstand,,,5,müM,,,,,,,,,20180101,,,,,,Radar,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,2,2700272.025,1262417.48
